"","top","bottom","y","days"
"1",0.0191277412018314,0.000424948092837873,0.00508276989608038,0
"11",0.159743633153706,0.0057691387363764,0.039835258723745,1
"21",0.758400069621013,0.0445610875266281,0.243044233628333,2
"31",0.884216026152385,0.219444051812465,0.70581602469958,3
"41",0.894053840997075,0.551424111259523,0.784640360292355,4
"51",0.888309250083417,0.619081240527997,0.765920998555518,5
"61",0.861027570429129,0.57770478788037,0.725506614903222,6
"71",0.824312794337662,0.534307433312335,0.678437605749994,7
"81",0.777413586411472,0.487935675408961,0.627709119743838,8
"91",0.724552701214902,0.439492188449181,0.573281574793123,9
"101",0.665430348993295,0.392223874087895,0.517039315089859,10
"111",0.600884663906295,0.345233122762334,0.460316827323042,11
"121",0.533870849039065,0.299433368218283,0.405285291278271,12
"131",0.46973949664346,0.254787972527792,0.351344813773322,13
"141",0.408580554753708,0.21376142121107,0.30183557334575,14
"151",0.356113225955852,0.173376399854421,0.256106290919962,15
"161",0.306066248901453,0.14019893975395,0.214988138835358,16
"171",0.262372753608419,0.111162648322732,0.178780584381619,17
"181",0.226690758370843,0.0856198097588985,0.147838318104541,18
"191",0.195381199136524,0.0656154059211198,0.121568869764252,19
"201",0.167430570840167,0.0505764163254984,0.0989653540608861,20
"211",0.143861487238725,0.0383107620660734,0.0804477974735204,21
"221",0.123551775413221,0.0286748987172386,0.0650423529930366,22
"231",0.106702893127109,0.0214270409730317,0.0524825831156461,23
"241",0.0915583178347595,0.0158677017737526,0.0421832472058076,24
"251",0.0787919102955953,0.0116547375931583,0.033794607219886,25
"261",0.067577291687625,0.00859902816855279,0.0271483158656779,26
"271",0.0575720480997016,0.00634946516678383,0.0217855098978301,27
"281",0.0491065689257906,0.00469082487784214,0.0175080513138552,28
"291",0.041962861844371,0.00345055481659815,0.0140001133186189,29
"301",0.0358548026773048,0.00252915264478691,0.0112076068858069,30
